team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2022,WSH,WSH,Team Level,4on5,62,0.11,0.14,0.15,15802.0,43.49,4.06,2.27,6.34,1.59,14.87,31.86,3.88,4.06,3.88,50.0,11.0,17.0,78.0,2.0,4.0,0.0,5.0,0.0,10.0,40.0,48.0,59.0,6.0,12.0,123.0,38.0,22.0,21.0,44.0,13.0,4.0,1.17,1.58,1.32,1.0,1.0,0.0,78.0,61.0,61.0,14.0,0.52,1.01,1.01,3.58,3.58,3.54,240.89,31.92,21.62,50.76,8.06,147.58,78.05,29.01,31.92,29.01,232.0,106.0,127.0,465.0,26.0,25.0,8.0,50.0,7.0,133.0,97.0,206.0,312.0,12.0,22.0,160.0,17.0,16.0,44.0,219.0,81.0,38.0,6.01,9.65,16.25,4.0,4.0,18.0,465.0,338.0,338.0,8.0,5.55,7.6,7.6,29.87,29.87,28.19
WSH,2022,WSH,WSH,Team Level,5on4,62,0.86,0.86,0.84,18379.0,263.04,30.14,24.05,56.98,9.14,162.16,84.53,27.73,30.14,27.73,244.0,123.0,120.0,487.0,34.0,27.0,4.0,45.0,7.0,151.0,103.0,210.0,333.0,8.0,16.0,150.0,31.0,24.0,52.0,268.0,66.0,33.0,6.96,7.66,15.52,5.0,9.0,20.0,487.0,367.0,367.0,6.0,6.18,4.15,4.15,32.17,32.17,30.29,54.61,4.96,2.61,7.11,1.56,17.21,38.54,4.96,4.96,4.96,62.0,10.0,7.0,79.0,5.0,0.0,0.0,6.0,0.0,17.0,44.0,57.0,67.0,4.0,8.0,175.0,49.0,46.0,25.0,51.0,16.0,5.0,1.43,2.18,1.35,1.0,3.0,1.0,79.0,72.0,72.0,21.0,0.6,0.0,0.0,5.56,5.56,5.56
PHI,2022,PHI,PHI,Team Level,other,61,0.43,0.46,0.45,7680.0,95.23,19.15,6.66,17.4,3.08,50.36,31.35,18.3,19.15,18.3,93.0,35.0,53.0,181.0,15.0,9.0,1.0,13.0,4.0,41.0,46.0,78.0,113.0,7.0,14.0,75.0,22.0,18.0,9.0,67.0,38.0,23.0,2.41,4.75,11.99,2.0,3.0,10.0,181.0,128.0,128.0,4.0,1.9,2.55,2.55,18.5,18.5,18.19,114.92,25.38,7.56,20.61,3.74,60.2,39.52,23.6,25.38,23.6,117.0,40.0,55.0,212.0,33.0,11.0,2.0,19.0,6.0,48.0,40.0,84.0,124.0,2.0,4.0,97.0,22.0,12.0,19.0,87.0,39.0,31.0,3.42,5.17,16.79,6.0,9.0,18.0,212.0,157.0,157.0,7.0,2.09,3.4,3.4,24.07,24.07,23.11
PHI,2022,PHI,PHI,Team Level,all,61,0.45,0.47,0.47,221730.0,1785.81,168.28,122.89,416.68,59.15,974.97,721.05,161.44,168.49,161.65,1789.0,674.0,859.0,3322.0,160.0,153.0,22.0,431.0,64.0,715.0,940.0,1629.0,2303.0,233.0,561.0,1574.0,1707.0,352.0,460.0,1821.0,463.0,179.0,51.42,56.28,60.58,62.0,41.0,57.0,3308.24,2463.0,2455.75,308.0,26.83,33.38,33.47,161.64,161.63,158.06,1978.73,204.82,140.51,454.05,64.88,1079.35,783.4,195.88,205.74,196.75,1912.0,815.0,1074.0,3801.0,201.0,177.0,19.0,436.0,62.0,891.0,960.0,1711.0,2526.0,232.0,561.0,1871.0,1419.0,404.0,532.0,1902.0,612.0,213.0,56.81,75.99,72.02,60.0,78.0,63.0,3832.12,2727.0,2744.79,325.0,31.05,37.42,37.42,198.45,199.38,194.38
PHI,2022,PHI,PHI,Team Level,5on5,61,0.46,0.47,0.48,180525.0,1431.27,118.59,95.37,347.22,47.64,782.88,585.29,115.29,118.81,115.5,1433.0,544.0,680.0,2657.0,109.0,122.0,17.0,377.0,47.0,558.0,764.0,1324.0,1868.0,214.0,523.0,1218.0,1610.0,282.0,395.0,1494.0,368.0,115.0,42.52,44.66,31.41,50.0,28.0,31.0,2643.24,1977.0,1969.75,281.0,19.7,24.49,24.58,113.71,113.7,112.25,1535.15,138.87,104.45,367.71,50.23,838.78,622.95,133.71,139.79,134.58,1494.0,629.0,870.0,2993.0,127.0,130.0,13.0,364.0,44.0,685.0,773.0,1367.0,1996.0,212.0,519.0,1451.0,1328.0,331.0,431.0,1519.0,469.0,135.0,44.65,58.16,36.06,45.0,57.0,25.0,3024.12,2123.0,2140.79,285.0,21.67,26.22,26.57,133.98,134.9,132.38
PHI,2022,PHI,PHI,Team Level,4on5,61,0.14,0.15,0.17,16978.0,56.66,5.61,2.97,7.8,1.79,17.88,39.95,5.57,5.61,5.57,64.0,12.0,13.0,89.0,10.0,2.0,0.0,3.0,3.0,11.0,47.0,54.0,66.0,4.0,8.0,138.0,46.0,41.0,23.0,54.0,13.0,9.0,1.46,1.64,2.52,2.0,5.0,3.0,89.0,76.0,76.0,21.0,0.68,0.33,0.33,5.97,5.97,5.95,276.68,35.28,25.89,58.34,9.22,164.63,84.64,33.45,35.28,33.45,243.0,135.0,140.0,518.0,37.0,33.0,4.0,49.0,11.0,148.0,100.0,206.0,341.0,11.0,22.0,178.0,14.0,12.0,48.0,246.0,93.0,39.0,7.13,11.21,16.94,7.0,12.0,18.0,518.0,378.0,378.0,3.0,6.7,7.1,6.75,35.23,35.23,33.81
PHI,2022,PHI,PHI,Team Level,5on4,61,0.83,0.84,0.8,16547.0,202.65,24.93,17.9,44.25,6.64,123.84,64.45,22.28,24.93,22.28,199.0,83.0,113.0,395.0,26.0,20.0,4.0,38.0,10.0,105.0,83.0,173.0,256.0,8.0,16.0,143.0,29.0,11.0,33.0,206.0,44.0,32.0,5.02,5.23,14.67,8.0,5.0,13.0,395.0,282.0,282.0,2.0,4.55,6.01,6.01,23.47,23.47,21.68,51.99,5.28,2.61,7.39,1.69,15.75,36.28,5.11,5.28,5.11,58.0,11.0,9.0,78.0,4.0,3.0,0.0,4.0,1.0,10.0,47.0,54.0,65.0,7.0,16.0,145.0,55.0,49.0,34.0,50.0,11.0,8.0,1.6,1.45,2.24,2.0,0.0,2.0,78.0,69.0,69.0,30.0,0.6,0.71,0.71,5.18,5.18,5.09
OTT,2022,OTT,OTT,Team Level,other,59,0.52,0.52,0.53,8077.0,118.04,25.51,8.67,19.11,3.68,62.68,40.34,24.0,25.51,24.0,122.0,38.0,44.0,204.0,25.0,10.0,3.0,20.0,4.0,45.0,56.0,97.0,135.0,7.0,17.0,99.0,20.0,14.0,20.0,76.0,51.0,33.0,3.18,6.53,15.79,4.0,6.0,15.0,204.0,160.0,160.0,7.0,2.54,3.48,3.48,24.56,24.56,24.1,106.72,23.75,7.3,19.25,3.48,53.26,36.97,20.13,23.75,20.13,103.0,41.0,44.0,188.0,20.0,9.0,0.0,13.0,4.0,49.0,49.0,83.0,124.0,6.0,15.0,90.0,20.0,19.0,16.0,78.0,30.0,36.0,3.05,3.63,17.07,4.0,4.0,12.0,188.0,144.0,144.0,8.0,2.25,2.9,2.71,23.28,23.28,20.7
OTT,2022,OTT,OTT,Team Level,all,59,0.51,0.51,0.51,214367.0,1991.49,210.63,143.09,448.39,65.8,1076.26,776.81,201.08,210.17,200.62,1962.0,759.0,940.0,3661.0,181.0,202.0,18.0,389.0,61.0,908.0,980.0,1781.0,2540.0,252.0,585.0,1790.0,1710.0,394.0,575.0,1840.0,665.0,216.0,54.62,82.69,73.32,45.0,68.0,68.0,3645.34,2721.0,2712.12,369.0,32.18,38.63,38.63,204.18,203.62,198.62,1898.02,198.4,134.06,431.68,62.44,1023.64,747.85,187.94,200.21,189.69,1896.0,703.0,897.0,3496.0,187.0,185.0,34.0,419.0,60.0,827.0,921.0,1709.0,2412.0,260.0,615.0,1699.0,1450.0,352.0,541.0,1853.0,514.0,232.0,55.2,62.58,80.62,62.0,55.0,70.0,3537.49,2599.0,2628.39,337.0,30.12,38.73,38.8,189.66,191.27,185.3
OTT,2022,OTT,OTT,Team Level,5on5,59,0.51,0.51,0.51,166192.0,1465.1,131.79,97.68,349.78,48.53,792.21,591.03,126.86,131.33,126.41,1438.0,573.0,732.0,2743.0,102.0,136.0,7.0,307.0,49.0,677.0,740.0,1336.0,1909.0,226.0,527.0,1337.0,1619.0,316.0,456.0,1427.0,472.0,112.0,42.45,58.79,30.54,30.0,51.0,21.0,2727.34,2011.0,2002.12,320.0,20.26,25.92,25.92,126.13,125.56,123.3,1403.23,125.98,93.54,335.34,46.17,754.95,567.08,121.79,127.79,123.55,1397.0,527.0,706.0,2630.0,127.0,125.0,27.0,328.0,46.0,607.0,691.0,1270.0,1797.0,223.0,533.0,1258.0,1337.0,277.0,447.0,1405.0,390.0,129.0,42.54,47.76,35.69,51.0,43.0,33.0,2671.49,1924.0,1953.39,297.0,19.43,25.01,25.3,120.05,121.66,119.62
OTT,2022,OTT,OTT,Team Level,4on5,59,0.12,0.14,0.16,20292.0,59.56,5.9,3.32,8.75,2.09,20.47,42.46,5.87,5.9,5.87,70.0,13.0,11.0,94.0,1.0,2.0,0.0,7.0,2.0,13.0,58.0,69.0,82.0,7.0,14.0,173.0,42.0,45.0,39.0,60.0,13.0,10.0,1.4,1.88,2.62,1.0,0.0,0.0,94.0,83.0,83.0,38.0,0.76,0.44,0.44,6.22,6.22,6.18,325.03,41.44,29.79,68.5,10.72,195.37,101.18,39.02,41.44,39.02,326.0,121.0,136.0,583.0,35.0,44.0,6.0,71.0,9.0,157.0,131.0,291.0,412.0,21.0,42.0,186.0,41.0,13.0,47.0,318.0,72.0,57.0,8.25,8.21,24.97,6.0,5.0,24.0,583.0,447.0,447.0,3.0,7.65,8.78,8.75,40.34,40.34,39.1
OTT,2022,OTT,OTT,Team Level,5on4,59,0.87,0.87,0.85,19806.0,348.78,47.43,33.42,70.74,11.51,200.92,102.97,44.36,47.43,44.36,332.0,135.0,153.0,620.0,53.0,54.0,8.0,55.0,6.0,173.0,126.0,279.0,414.0,12.0,27.0,181.0,29.0,19.0,60.0,277.0,129.0,61.0,7.58,15.48,24.37,10.0,11.0,32.0,620.0,467.0,467.0,4.0,8.63,8.79,8.79,47.26,47.26,45.03,63.03,7.24,3.42,8.59,2.07,20.06,42.61,6.99,7.24,6.99,70.0,14.0,11.0,95.0,5.0,7.0,1.0,7.0,1.0,14.0,50.0,65.0,79.0,10.0,25.0,165.0,52.0,43.0,31.0,52.0,22.0,10.0,1.36,2.98,2.9,1.0,3.0,1.0,95.0,84.0,84.0,29.0,0.79,2.04,2.04,5.99,5.99,5.87
COL,2022,COL,COL,Team Level,other,58,0.56,0.58,0.58,7156.0,129.0,24.5,9.7,24.67,5.06,72.1,41.97,23.29,24.5,23.29,127.0,51.0,56.0,234.0,30.0,15.0,3.0,19.0,4.0,74.0,36.0,97.0,148.0,3.0,6.0,105.0,27.0,7.0,14.0,104.0,38.0,36.0,3.9,4.67,15.93,2.0,8.0,20.0,234.0,178.0,178.0,2.0,2.89,4.33,4.33,23.07,23.07,22.0,94.85,19.01,6.95,17.21,3.31,50.02,33.5,17.89,19.01,17.89,89.0,41.0,38.0,168.0,17.0,8.0,1.0,16.0,9.0,39.0,41.0,72.0,113.0,4.0,8.0,94.0,24.0,7.0,12.0,61.0,42.0,27.0,2.36,5.19,11.46,5.0,4.0,8.0,168.0,130.0,130.0,2.0,1.97,2.24,2.24,18.74,18.74,18.24
COL,2022,COL,COL,Team Level,all,58,0.51,0.52,0.51,212066.0,1842.79,182.77,130.7,423.14,61.33,1045.78,733.28,175.66,184.72,177.59,1933.0,644.0,927.0,3504.0,181.0,163.0,24.0,408.0,70.0,822.0,933.0,1752.0,2396.0,211.0,472.0,1584.0,1221.0,430.0,351.0,1900.0,489.0,188.0,57.08,59.7,66.0,56.0,62.0,63.0,3554.94,2577.0,2608.98,167.0,29.09,38.04,38.04,173.83,175.69,171.31,1801.65,177.37,128.46,411.91,60.14,1003.89,723.23,168.3,176.41,167.44,1870.0,635.0,790.0,3295.0,154.0,184.0,24.0,437.0,59.0,778.0,893.0,1716.0,2351.0,218.0,488.0,1840.0,1346.0,436.0,331.0,1835.0,486.0,184.0,53.15,59.99,64.23,53.0,53.0,48.0,3255.71,2505.0,2481.15,168.0,28.41,40.71,40.74,165.04,164.13,160.1
COL,2022,COL,COL,Team Level,5on5,58,0.51,0.51,0.5,169625.0,1412.67,121.34,94.49,337.92,46.21,796.87,582.17,117.52,123.29,119.44,1489.0,490.0,765.0,2744.0,109.0,111.0,15.0,332.0,55.0,614.0,758.0,1380.0,1870.0,194.0,438.0,1232.0,1115.0,374.0,291.0,1499.0,367.0,113.0,45.04,44.97,31.33,48.0,39.0,22.0,2794.94,1979.0,2010.98,148.0,19.46,24.2,24.36,116.44,118.29,116.36,1406.64,114.95,93.74,336.65,46.8,784.24,584.61,110.32,113.98,109.47,1470.0,491.0,650.0,2611.0,96.0,132.0,14.0,372.0,41.0,611.0,709.0,1374.0,1865.0,194.0,440.0,1387.0,1246.0,366.0,266.0,1510.0,345.0,106.0,43.38,42.4,29.15,43.0,36.0,17.0,2571.71,1961.0,1937.15,144.0,19.4,26.37,26.41,107.94,107.03,104.97
COL,2022,COL,COL,Team Level,4on5,58,0.08,0.1,0.11,17269.0,33.94,3.36,1.71,4.62,1.0,10.64,23.67,3.28,3.36,3.28,39.0,6.0,4.0,49.0,4.0,2.0,1.0,3.0,0.0,4.0,32.0,35.0,41.0,4.0,8.0,122.0,57.0,34.0,12.0,31.0,10.0,4.0,1.0,1.24,1.12,1.0,1.0,2.0,49.0,45.0,45.0,11.0,0.38,0.67,0.67,3.08,3.08,3.07,265.72,40.92,25.96,52.94,8.86,157.1,79.22,37.6,40.92,37.6,264.0,101.0,96.0,461.0,39.0,44.0,9.0,46.0,9.0,120.0,107.0,225.0,326.0,12.0,24.0,175.0,18.0,10.0,31.0,223.0,92.0,50.0,6.17,11.48,23.26,5.0,11.0,23.0,461.0,365.0,365.0,3.0,6.63,12.1,12.1,35.45,35.45,33.98
COL,2022,COL,COL,Team Level,5on4,58,0.93,0.9,0.88,18016.0,267.18,33.57,24.81,55.93,9.06,166.17,85.47,31.58,33.57,31.58,278.0,97.0,102.0,477.0,38.0,35.0,5.0,54.0,11.0,130.0,107.0,240.0,337.0,10.0,20.0,125.0,22.0,15.0,34.0,266.0,74.0,35.0,7.13,8.82,17.62,5.0,14.0,19.0,477.0,375.0,375.0,6.0,6.35,8.84,8.68,31.25,31.25,29.88,34.44,2.5,1.81,5.11,1.17,12.51,25.91,2.48,2.5,2.48,47.0,2.0,6.0,55.0,2.0,0.0,0.0,3.0,0.0,8.0,36.0,45.0,47.0,8.0,16.0,184.0,58.0,53.0,22.0,41.0,7.0,1.0,1.24,0.91,0.36,0.0,2.0,0.0,55.0,49.0,49.0,19.0,0.42,0.0,0.0,2.92,2.92,2.9
CBJ,2022,CBJ,CBJ,Team Level,other,60,0.55,0.51,0.51,8418.0,128.33,28.42,10.58,22.73,4.53,70.98,35.76,24.0,28.42,24.0,120.0,53.0,50.0,223.0,19.0,19.0,2.0,16.0,5.0,71.0,43.0,101.0,154.0,5.0,10.0,100.0,16.0,15.0,15.0,77.0,54.0,42.0,2.64,6.69,19.09,4.0,6.0,9.0,223.0,173.0,173.0,4.0,3.05,7.06,7.06,24.42,24.42,21.88,120.44,22.87,8.81,21.27,4.04,68.93,39.06,22.0,22.87,22.0,110.0,55.0,49.0,214.0,28.0,6.0,3.0,20.0,3.0,57.0,51.0,82.0,137.0,4.0,8.0,100.0,17.0,10.0,10.0,94.0,40.0,31.0,3.47,5.17,14.23,6.0,6.0,16.0,214.0,165.0,165.0,3.0,2.63,1.77,1.77,23.73,23.73,22.98
CBJ,2022,CBJ,CBJ,Team Level,all,60,0.45,0.46,0.46,217794.0,1801.45,173.23,125.33,411.59,59.8,986.08,717.96,164.35,171.57,162.78,1750.0,724.0,860.0,3334.0,153.0,162.0,20.0,411.0,65.0,792.0,891.0,1597.0,2321.0,218.0,475.0,1726.0,1367.0,381.0,380.0,1786.0,517.0,171.0,52.44,62.24,58.54,55.0,63.0,35.0,3274.73,2474.0,2437.5,191.0,27.76,34.67,34.74,166.26,164.56,159.66,2121.31,208.17,148.56,490.56,70.19,1173.28,831.22,199.08,211.65,202.44,2098.0,824.0,998.0,3920.0,221.0,209.0,35.0,503.0,64.0,942.0,983.0,1877.0,2701.0,194.0,427.0,1833.0,1032.0,412.0,388.0,2120.0,577.0,225.0,60.3,71.46,76.42,77.0,76.0,68.0,4025.51,2922.0,2987.18,179.0,32.93,45.3,45.3,195.81,199.15,194.36
CBJ,2022,CBJ,CBJ,Team Level,5on5,60,0.44,0.46,0.45,177971.0,1397.21,116.29,92.39,336.28,46.42,759.58,570.04,112.72,114.63,111.16,1362.0,559.0,709.0,2630.0,105.0,123.0,15.0,331.0,51.0,598.0,713.0,1257.0,1816.0,184.0,407.0,1328.0,1276.0,331.0,328.0,1440.0,386.0,95.0,43.3,46.41,26.59,44.0,48.0,13.0,2570.73,1921.0,1884.5,179.0,19.07,23.27,23.33,112.03,110.33,108.66,1674.01,147.78,111.68,404.84,55.2,918.63,671.87,141.84,151.26,145.2,1666.0,644.0,832.0,3142.0,151.0,168.0,28.0,414.0,54.0,733.0,790.0,1515.0,2159.0,167.0,373.0,1435.0,973.0,341.0,329.0,1710.0,448.0,152.0,48.96,55.58,43.23,63.0,59.0,29.0,3247.51,2310.0,2375.18,163.0,23.1,35.97,35.97,134.91,138.27,135.65
CBJ,2022,CBJ,CBJ,Team Level,4on5,60,0.16,0.15,0.17,16589.0,58.04,5.77,2.93,7.17,1.61,17.64,40.88,5.67,5.77,5.67,61.0,15.0,12.0,88.0,4.0,0.0,0.0,10.0,2.0,13.0,47.0,57.0,72.0,13.0,26.0,149.0,54.0,27.0,8.0,51.0,17.0,8.0,1.44,2.09,2.24,0.0,2.0,2.0,88.0,76.0,76.0,6.0,0.68,0.0,0.0,6.45,6.45,6.34,275.51,31.01,25.28,57.65,9.37,170.12,86.57,28.9,31.01,28.9,267.0,113.0,106.0,486.0,36.0,32.0,4.0,65.0,6.0,141.0,100.0,231.0,344.0,17.0,34.0,170.0,11.0,11.0,37.0,277.0,71.0,32.0,6.55,8.34,16.13,6.0,10.0,20.0,486.0,380.0,380.0,2.0,6.56,6.74,6.74,30.83,30.83,29.51
CBJ,2022,CBJ,CBJ,Team Level,5on4,60,0.78,0.83,0.82,14816.0,217.87,22.74,19.43,45.41,7.25,137.89,71.28,21.96,22.74,21.96,207.0,97.0,89.0,393.0,25.0,20.0,3.0,54.0,7.0,110.0,88.0,182.0,279.0,16.0,32.0,149.0,21.0,8.0,29.0,218.0,60.0,26.0,5.06,7.06,10.61,7.0,7.0,11.0,393.0,304.0,304.0,2.0,4.97,4.34,4.34,23.36,23.36,22.79,51.35,6.51,2.79,6.8,1.58,15.6,33.72,6.33,6.51,6.33,55.0,12.0,11.0,78.0,6.0,3.0,0.0,4.0,1.0,11.0,42.0,49.0,61.0,6.0,12.0,128.0,31.0,50.0,12.0,39.0,18.0,10.0,1.31,2.37,2.83,2.0,1.0,3.0,78.0,67.0,67.0,11.0,0.64,0.82,0.82,6.32,6.32,6.23
SEA,2022,SEA,SEA,Team Level,other,59,0.48,0.47,0.47,5678.0,73.21,21.36,5.33,12.67,2.64,38.47,23.54,20.19,21.36,20.19,72.0,32.0,32.0,136.0,23.0,8.0,1.0,9.0,2.0,39.0,23.0,49.0,81.0,3.0,6.0,58.0,21.0,12.0,6.0,54.0,18.0,32.0,1.79,2.6,16.97,3.0,7.0,13.0,136.0,104.0,104.0,3.0,1.57,2.24,2.24,20.7,20.7,19.67,86.29,23.04,6.31,13.87,2.76,47.12,24.9,20.23,23.04,20.23,75.0,43.0,33.0,151.0,22.0,10.0,4.0,13.0,4.0,42.0,27.0,53.0,96.0,2.0,4.0,76.0,24.0,18.0,5.0,51.0,32.0,35.0,2.02,4.08,16.94,1.0,6.0,15.0,151.0,118.0,118.0,0.0,1.86,4.66,4.66,20.24,20.24,19.07
SEA,2022,SEA,SEA,Team Level,all,59,0.5,0.51,0.51,214106.0,1791.19,181.87,124.61,417.21,60.61,998.31,723.38,174.64,182.81,175.58,1764.0,742.0,867.0,3373.0,203.0,146.0,26.0,348.0,59.0,789.0,961.0,1561.0,2303.0,195.0,437.0,1466.0,1332.0,582.0,404.0,1818.0,512.0,176.0,53.22,64.24,64.4,71.0,77.0,55.0,3399.19,2506.0,2525.74,218.0,27.3,29.9,29.9,179.26,180.32,175.25,1726.94,184.2,125.14,394.29,58.07,954.31,677.99,174.83,184.49,175.1,1649.0,745.0,821.0,3215.0,186.0,164.0,33.0,317.0,53.0,812.0,862.0,1463.0,2208.0,196.0,445.0,1764.0,1352.0,466.0,471.0,1662.0,530.0,202.0,48.42,66.34,69.44,45.0,72.0,69.0,3208.51,2394.0,2390.71,262.0,27.85,35.41,35.42,176.63,176.92,172.11
SEA,2022,SEA,SEA,Team Level,5on5,59,0.51,0.52,0.52,176445.0,1470.0,126.0,98.06,354.6,49.52,816.43,609.39,122.58,126.94,123.53,1447.0,607.0,704.0,2758.0,148.0,114.0,20.0,300.0,47.0,631.0,814.0,1299.0,1906.0,183.0,410.0,1168.0,1214.0,486.0,354.0,1532.0,422.0,100.0,45.42,52.72,27.86,61.0,65.0,22.0,2784.19,2054.0,2073.74,199.0,20.24,20.49,20.83,125.42,126.47,124.54,1351.92,122.93,93.52,321.88,45.26,743.21,547.21,118.31,123.22,118.58,1286.0,588.0,684.0,2558.0,116.0,125.0,21.0,256.0,41.0,635.0,701.0,1170.0,1758.0,173.0,393.0,1369.0,1261.0,387.0,415.0,1334.0,427.0,113.0,39.17,53.78,29.97,35.0,53.0,28.0,2551.51,1874.0,1870.71,239.0,19.43,23.9,23.91,118.45,118.74,116.69
SEA,2022,SEA,SEA,Team Level,4on5,59,0.1,0.1,0.1,15931.0,29.86,3.75,1.78,4.19,1.03,9.55,18.69,3.72,3.75,3.72,33.0,6.0,8.0,47.0,2.0,1.0,0.0,2.0,0.0,6.0,28.0,31.0,37.0,3.0,9.0,119.0,83.0,54.0,13.0,23.0,10.0,6.0,0.63,1.46,1.66,1.0,1.0,0.0,47.0,39.0,39.0,11.0,0.39,0.22,0.22,3.93,3.93,3.91,249.83,34.25,23.07,52.96,8.76,150.85,78.11,32.41,34.25,32.41,248.0,100.0,96.0,444.0,42.0,28.0,8.0,43.0,7.0,123.0,105.0,206.0,306.0,14.0,31.0,161.0,23.0,13.0,30.0,239.0,61.0,48.0,6.18,7.25,20.83,7.0,11.0,24.0,444.0,348.0,348.0,3.0,6.06,6.54,6.54,33.77,33.77,32.21
SEA,2022,SEA,SEA,Team Level,5on4,59,0.89,0.87,0.85,16052.0,218.1,30.75,19.46,45.75,7.41,133.86,71.77,28.13,30.75,28.13,212.0,97.0,123.0,432.0,30.0,23.0,5.0,37.0,10.0,113.0,96.0,182.0,279.0,6.0,12.0,121.0,14.0,30.0,31.0,209.0,62.0,38.0,5.37,7.46,17.92,6.0,4.0,20.0,432.0,309.0,309.0,5.0,5.09,6.95,6.61,29.23,29.23,27.14,38.91,3.97,2.24,5.59,1.3,13.13,27.77,3.89,3.97,3.89,40.0,14.0,8.0,62.0,6.0,1.0,0.0,5.0,1.0,12.0,29.0,34.0,48.0,7.0,17.0,158.0,44.0,48.0,21.0,38.0,10.0,6.0,1.05,1.23,1.69,2.0,2.0,2.0,62.0,54.0,54.0,20.0,0.51,0.31,0.31,4.18,4.18,4.15
WPG,2022,WPG,WPG,Team Level,other,60,0.54,0.57,0.57,8331.0,129.78,28.42,9.96,22.16,4.39,75.34,39.72,25.16,28.42,25.16,120.0,60.0,52.0,232.0,35.0,8.0,3.0,15.0,2.0,74.0,46.0,85.0,145.0,3.0,6.0,89.0,31.0,15.0,17.0,89.0,56.0,35.0,3.37,6.84,18.22,6.0,11.0,18.0,232.0,180.0,180.0,7.0,2.98,2.71,2.71,28.69,28.69,26.57,96.46,24.4,6.43,17.61,3.17,49.45,32.95,23.53,24.4,23.53,93.0,41.0,42.0,176.0,23.0,7.0,2.0,17.0,2.0,46.0,39.0,70.0,111.0,6.0,14.0,97.0,31.0,11.0,16.0,67.0,33.0,34.0,2.7,4.17,17.53,5.0,5.0,13.0,176.0,134.0,134.0,11.0,1.82,2.02,2.02,24.2,24.2,23.48
WPG,2022,WPG,WPG,Team Level,all,60,0.51,0.51,0.51,217190.0,1896.05,195.94,134.26,431.45,63.26,1068.22,749.86,185.35,195.96,185.41,1798.0,845.0,866.0,3509.0,181.0,167.0,26.0,360.0,53.0,958.0,924.0,1617.0,2462.0,210.0,476.0,1569.0,1291.0,431.0,523.0,1899.0,536.0,208.0,57.07,65.46,73.41,67.0,61.0,53.0,3515.83,2643.0,2649.54,367.0,30.04,35.08,35.15,190.83,191.26,184.62,1837.63,185.32,128.01,424.12,60.53,1016.37,737.65,176.57,185.39,176.73,1857.0,695.0,815.0,3367.0,159.0,155.0,22.0,349.0,47.0,867.0,975.0,1698.0,2393.0,230.0,508.0,1672.0,1297.0,406.0,568.0,1823.0,542.0,187.0,53.36,67.59,64.37,52.0,55.0,52.0,3361.97,2552.0,2549.34,419.0,28.15,33.69,33.69,179.78,179.85,174.75
